[53.558104, -2.407459]
[53.190148, -1.059789]
[53.871783, -1.697043]
[50.414407, -4.095862]
[53.880168, -3.011153]
[53.336554, -1.37347]
[57.293428, -2.392675]
[52.138512, -0.449587]

[51.797532, 1.077754]
[55.604021, -2.439892]
[52.028146, -2.107994]
[50.609443, -3.446942]

[51.239425, -0.582455]
[53.133462, -1.186922]
[53.443566, -2.216985]
[52.716363, -1.377374]
[51.524406, -3.231885]
[53.551288, -2.51706]

[52.675531, -1.96977]
[53.54719, -2.418117]

[51.489859, -0.143402]
[52.221704, -1.861128]
[50.787398, -0.693089]
[52.5449, -2.102843]
[54.602346, -5.977335]
[52.266662, -0.914889]
[53.570982, -1.462294]
[50.941253, -2.533973]
[51.541849, -2.061123]

[49.191725, -2.197751]
[50.821964, -0.119543]
[54.065886, -1.289319]
[52.623527, -1.145586]

[51.730939, 0.472605]


[51.449503, -0.06688]
[57.504689, -1.803801]
[51.410904, -0.156948]
[53.468306, -2.085556]
[51.31478, 0.860513]
[56.40745, -3.477891]


[53.492042, -2.49421]
[54.575563, -1.354036]


[52.902521, -0.633715]
[53.176284, -2.898164]
[51.750552, -2.210304]
[51.466313, 0.169641]
[51.494527, -0.210883]
[53.606864, -2.840669]
[51.442348, -0.953198]
[51.764808, -3.404861]
[57.465875, -4.210697]
[55.854386, -4.323543]
[52.716228, -2.447881]
[53.010386, -2.20732]
[53.4722, -2.243386]
[51.86173, -2.231295]
[51.51893, 0.012652]
[56.193495, -3.163759]
[52.227134, -0.903677]
[53.475159, -2.267162]
[53.221717, -3.076972]
[51.490136, -0.047431]
[51.649645, -3.993059]
[54.69076, -1.213805]
[51.575912, 0.198605]

[50.397009, -4.122615]
[51.427017, -0.0553]
[51.49935, -0.123555]
[51.800425, -0.076681]

[50.71113, -1.108134]
[53.751284, -2.729387]
[51.014296, -0.095007]
[51.597444, -0.344842]
[56.119639, -3.781117]
[52.623527, -1.145596]
[50.484732, -3.539504]
[55.016769, -1.508925]


[52.792046, 0.440644]
[53.758945, -1.759626]
[52.589849, -1.105696]
[51.668482, -0.565836]
[53.406669, -2.977723]
[52.634154, -0.289757]
[51.600782, 0.527742]
[54.904903, -1.55743]
[52.052485, -0.87214]
[51.65698, -0.286341]

[53.979351, -1.065332]
[52.305402, 0.385672]
[52.248119, 0.398905]
[52.382114, -0.73092]
[51.35322, -1.123183]
[50.895323, -3.49708]
[51.645602, -0.222839]
[53.392188, -2.935786]
[51.583967, 0.019965]
[56.460776, -2.964241]
[50.795186, -1.145881]
[55.018622, -1.645502]
[55.152482, -3.004254]
[56.465825, -3.046038]
[51.498853, -0.125684]

[53.560417, -2.190441]
[56.195409, -3.172713]
[51.514175, -3.115152]

[53.598379, -2.550613]
[54.544849, -1.297106]
[50.687411, -4.692791]
[50.818695, -1.094803]
[50.797611, -1.89939]
[51.78627, -1.273205]
[50.823845, -0.613099]
[53.571002, -1.462108]
[53.809745, -1.720487]
[51.521801, -0.075827]
[57.119346, -2.177838]
[51.737114, 0.693769]
[55.825131, -4.094068]
[53.887291, -2.927132]
[51.497051, -0.203879]
[51.494455, -2.54923]
[51.31478, 0.860513]
[52.385327, 0.534056]

[50.927932, -2.906239]
[53.556331, -0.637411]
[52.325694, 1.678922]
[51.549, -1.780458]
[51.492204, 0.167879]
[52.857933, -2.786319]
[51.538194, -0.094348]
[50.705899, -1.937953]
[54.991443, -1.561404]
[53.497143, -2.279393]
[53.370597, -2.717528]
[51.504217, -0.434646]
[51.524406, -3.231885]
[51.455522, -0.989115]
[54.631627, -3.550189]

[55.771515, -4.185073]
[54.897479, -2.943586]
[55.882577, -3.114681]
[51.372534, -2.442074]
[51.850104, -4.33435]
[50.861051, 0.583705]
[52.999519, -1.177212]
[53.390176, -3.04127]
[57.504735, -1.803729]
[51.87898, 0.936231]
[51.689974, -0.934397]
[51.551409, -0.067678]
[54.591171, -5.905336]
[53.916418, -3.040849]
[52.391278, -1.417332]
[54.592883, -5.976112]
[54.521684, -6.077798]
[51.830128, -2.202897]
[51.501104, 0.326772]

[53.276999, -1.319328]
[52.382592, -2.60596]
[54.230359, -2.773735]
[50.800985, -1.988657]
[53.767688, -2.814835]
[50.386468, -4.142654]
[51.317299, -0.557408]
[52.484282, -1.887124]
[53.650761, -1.517655]
[51.578611, -0.240626]
[51.839731, -2.212046]
[51.107967, -2.923799]
[51.475185, -0.175578]
[51.397765, -0.455331]
[51.955533, -0.257018]
[51.839737, -2.211959]
[51.573262, -3.429618]
[51.513793, -0.100159]
[55.080063, -3.487655]
[54.796228, -1.572172]
[50.394102, -3.508664]
[55.08019, -1.4746]
[53.371506, -1.474648]

[53.496299, -2.380547]
[53.401418, -2.319348]
[51.813144, 0.144852]
[53.314853, -1.322048]
[51.464549, 0.186461]
[57.151568, -2.128675]
[55.851267, -4.294093]

[52.208291, 0.13382]

[55.967957, -3.162217]

[53.403037, -0.755109]
[53.392188, -2.935786]


[50.836486, -0.200169]
[55.960376, -2.97922]
[53.763451, -2.709963]
[52.028924, -0.494686]

[51.545421, 0.696187]

[51.429525, -0.150603]
[53.734859, -2.497253]

[55.931368, -3.286399]
[51.532007, -0.075962]

[51.385907, -0.35965]
[52.631944, 1.238577]
[51.536009, 0.182519]

[51.278906, -0.374545]
[51.31478, 0.860513]
[53.542383, -1.521155]

[51.750576, -0.339146]
[54.46027, -5.827671]
[51.271712, 0.529405]

[53.468288, -2.085543]
[54.568302, -1.218079]
[51.490134, -0.047401]
[50.857997, -1.398716]

[51.647176, -4.051129]
[56.155549, -3.323857]
[53.757573, -1.628323]

[52.023918, 0.169668]
[50.840954, -0.260377]
[51.393335, -0.175541]

[55.133234, -1.584042]
[51.359127, -1.981984]
[51.583216, -0.408343]
[51.484049, -0.205603]
[50.84464, -1.031777]
[55.031134, -1.515125]
[50.885972, -1.294159]
[54.576021, -5.998554]


[53.23421, -3.022424]
[51.496495, -0.125529]
[51.514153, -0.14017]
[54.969019, -1.436548]
[51.512746, -0.128105]


[53.084514, -2.247249]
[51.451115, -2.478746]

[50.820615, -0.14055]

[51.483453, 0.288266]
[52.907114, -1.267075]
[52.26499, -2.156573]
[56.112579, -3.757431]
[54.729511, -1.892144]
[53.477033, -2.148445]
[51.963249, -2.055062]
[53.432269, -2.138512]
[51.022426, -0.355793]
[51.408691, -1.249698]
[54.992231, -1.426777]

[51.647832, -0.254614]
[51.476171, -0.65244]
[52.47647, -1.901463]
[55.865523, -4.264186]
[50.963167, -0.14186]
[53.373029, -1.454949]
[51.943211, -2.063405]
[52.951068, -1.033704]
[55.161975, -1.678847]
[54.571919, -5.920251]
[51.488752, -3.175514]

[51.345546, 1.039392]
[52.436423, -1.530537]
[52.647363, 1.308183]
[51.635081, -0.093475]
[55.764779, -4.090414]
[53.655951, -0.596368]
[55.772385, -4.304498]
[55.484399, -2.553709]

[50.726789, -3.536547]
[51.652453, 0.076075]

[53.244223, -2.535919]
[51.475343, -0.175575]
[53.744749, -1.529408]
[51.53866, -0.14729]
[53.332281, -3.422113]
[54.978955, -1.390576]
[51.825763, -0.841726]
[52.366251, -2.034518]
[55.780614, -4.01526]
[53.639213, -1.514456]




[53.268219, -3.930985]

[51.414144, -0.08776]

[51.126184, -2.728818]
[51.51934, -2.533273]

[53.016169, -1.359477]
[53.404726, -2.327083]
[50.484709, -3.53948]
[53.286917, -4.564508]
[51.537117, 0.68403]
[51.555025, -1.842993]
[50.726078, -1.975969]
[51.377955, -2.359007]
[56.407424, -3.478219]
[57.908048, -4.000354]
[55.826785, -4.433479]
[55.900428, -3.629098]
[51.337166, -2.206025]
[50.812807, -1.152518]
[52.711883, 0.460208]
[52.557234, -0.251251]

[51.296867, 1.072316]
[51.820036, -0.04909]
[51.703227, 0.780493]
[51.620255, -3.983917]
[52.64154, -1.156675]
[51.626852, -3.959889]
[51.549794, -0.348262]
[51.431812, -0.495948]
[53.558571, -0.66623]
[53.479187, -2.362959]
[52.382592, -2.60596]

[52.409407, -1.51006]
[52.336858, -0.551708]
[53.465945, -1.323179]
[55.867549, -4.10878]
[50.858043, -1.398828]
[51.389287, -0.076547]
[53.684717, -1.796738]
[52.497546, -1.978331]
[54.981358, -1.62431]
[51.574224, -0.014024]
[51.698186, -2.369065]

[54.6044, -1.379624]
[54.993589, -1.604315]
[50.642108, -1.952621]
[51.345547, 1.039393]
[51.145087, 0.26186]
[50.825908, -0.161188]
[51.271962, 0.508641]
[53.468288, -2.085543]
[51.24302, -1.662569]

[52.628591, -1.131347]
[53.650817, -1.517771]
[50.372056, -4.177366]
[51.362257, -0.198679]
[51.53669, -0.076227]


[53.029306, -1.447871]
[50.94543, -2.521678]
[55.608473, -4.463905]
[52.74651, -1.473292]
[51.706269, -3.433865]

[51.682227, -3.130337]
[50.966187, -0.121711]
[51.519015, 0.012611]

[57.199835, -2.105351]
[53.406451, -2.977002]
[51.539445, -0.096]
[55.000352, -1.719794]
[49.476933, -2.578429]
[51.492629, -3.181719]
[54.573243, -1.233927]
[53.391194, -2.963022]
[51.31478, 0.860513]
[51.456226, -0.110024]
[52.014078, -0.972278]
[53.399219, -2.928306]
[53.445075, -2.960724]
[51.464027, -0.577151]
