[ 51.464099, -0.295578 ]
[ 52.179316, 1.003747 ]
[ 53.70058, -1.849055 ]
[ 55.007002, -1.521346 ]
[ 51.31664, -0.606356 ]
[ 52.305461, 0.385639 ]
[ 51.500645, -0.124573 ]
[ 54.895184, -3.205502 ]
[ 51.514178, -0.152628 ]
[ 51.774818, -0.435617 ]
[ 51.437542, 0.098176 ]
[ 54.097063, -3.255791 ]
[ 51.676323, -3.542993 ]
[ 51.490324, -3.178745 ]
[ 51.384723, -2.399682 ]
[ 51.422599, 0.061483 ]
[ 50.907465, -1.345016 ]
[ 51.498003, -2.481918 ]
[ 53.764214, -0.274978 ]
[ 53.999791, -1.059756 ]
[ 53.027912, -2.138824 ]
[ 54.0633, -2.88424 ]
[ 50.858057, -1.013359 ]
[ 53.186761, -2.442967 ]
[ 53.43835, -2.2773 ]
[ 51.45052, 0.109728 ]
[ 52.142556, -2.556448 ]
[ 51.609906, -1.2353 ]
[ 51.0796, -0.3105 ]
[ 52.901401, -0.632153 ]
[ 51.606569, -1.421775 ]
[ 53.772897, -1.775832 ]
[ 55.021549, -1.505927 ]
[ 51.47094, -0.134354 ]
[ 51.653452, -3.988758 ]
[ 52.916908, -1.155631 ]
[ 55.877982, -3.153137 ]
[ 56.184089, -3.967879 ]
[ 55.858994, -4.359318 ]
[ 51.519625, -3.372228 ]
[ 51.330181, -0.415297 ]
[ 53.420012, -1.200206 ]
[ 51.94605, 1.057113 ]
[ 53.454283, -1.436242 ]
[ 56.192859, -3.196975 ]
[ 55.67435, -3.771489 ]
[ 53.478547, -2.253753 ]
[ 52.586641, -1.15359 ]
[ 51.46715, -0.188517 ]
[ 51.399661, -1.333786 ]
[ 55.933753, -4.705777 ]
[ 53.512126, -1.084393 ]
[ 52.606304, -1.098337 ]
[ 51.470378, -0.457078 ]
[ 51.673082, -0.403987 ]
[ 54.574227, -1.341233 ]
[ 56.198989, -3.185068 ]
[ 52.792244, -1.624674 ]
[ 51.446122, -2.62011 ]
[ 51.478303, -2.596979 ]
[ 51.570109, -0.014975 ]
[ 51.502285, -3.221648 ]
[ 52.602949, 0.379638 ]
[ 54.98236, -1.656638 ]
[ 54.681459, -5.974808 ]
[ 55.907885, -4.455562 ]
[ 56.217909, -3.09942 ]
[ 52.665606, 1.289053 ]
[ 52.040038, -0.734967 ]
[ 51.661771, 0.308758 ]
[ 52.512279, -1.441989 ]
[ 51.337152, -2.205922 ]
[ 54.244967, -0.383162 ]
[ 53.703524, -0.883908 ]
[ 52.911076, -1.187384 ]
[ 56.501747, -2.736949 ]
[ 51.542755, -0.104254 ]
[ 50.744, -3.988 ]
[ 53.061697, -3.002269 ]
[ 52.183761, -2.200004 ]
[ 53.482531, -2.217937 ]
[ 51.923042, -0.671503 ]
[ 53.45847, -2.1634 ]
[ 50.798215, -1.041686 ]
[ 51.492, -0.223189 ]
[ 53.746164, -2.470652 ]
[ 53.6787, -1.689108 ]
[ 51.596261, -0.171476 ]
[ 52.377773, -1.395066 ]
[ 53.577916, -2.427047 ]
[ 53.689651, -1.580723 ]
[ 57.200592, -2.128577 ]
[ 53.445203, -2.233533 ]
[ 50.743111, -1.962723 ]
[ 52.497519, -2.032972 ]
[ 51.254674, -1.11806 ]
[ 51.601799, -0.244117 ]
[ 52.544207, -1.801197 ]
[ 51.857645, -4.326878 ]
[ 51.74282, -0.315387 ]
[ 55.026803, -1.552602 ]
[ 50.801882, 0.273328 ]
[ 55.93822, -3.270171 ]
[ 51.518306, -3.192021 ]
[ 51.673066, -0.403992 ]
[ 51.51546, -0.12022 ]
[ 51.533706, -0.476644 ]
[ 53.537223, -2.009446 ]
[ 51.129371, 0.266015 ]
[ 51.471306, -0.487304 ]
[ 51.506956, -3.199835 ]
[ 53.582314, -2.408102 ]
[ 51.653477, -3.988761 ]
[ 53.874535, -1.890272 ]
[ 53.070573, -2.520409 ]
[ 53.729548, -2.785786 ]
[ 52.240429, -0.858292 ]
[ 51.759753, -0.233201 ]
[ 53.286322, -2.711565 ]
[ 51.25155, -0.698534 ]
[ 51.549483, -0.182791 ]
[ 53.478547, -2.253753 ]
[ 55.943102, -4.783146 ]
[ 51.871691, 0.576175 ]
[ 51.468648, -0.857236 ]
[ 51.901396, -2.114542 ]
[ 53.369545, -1.467489 ]
[ 51.442245, 0.369109 ]
[ 55.899576, -3.545855 ]
[ 51.5678, -0.139058 ]
[ 53.043477, -1.255381 ]
[ 56.172208, -3.245629 ]
[ 53.78044, -0.300924 ]
[ 50.80781, 0.305414 ]
[ 53.807317, -2.313254 ]
[ 52.51763, -1.84414 ]
[ 52.644952, 1.303799 ]
[ 57.151633, -2.106955 ]
[ 53.549157, -0.022174 ]
[ 52.590087, -2.024279 ]
[ 53.499533, -1.45015 ]
[ 54.948794, -1.603757 ]
[ 54.591672, -5.850533 ]
[ 51.241025, -0.191158 ]
[ 52.985748, -1.877409 ]
[ 51.474376, -0.098601 ]
[ 55.178692, -1.562703 ]
[ 50.991114, -0.099776 ]
[ 53.158002, 0.342256 ]
[ 50.542893, -2.436751 ]
[ 53.420061, -1.199878 ]
[ 53.838479, -2.194307 ]
[ 56.458056, -2.983823 ]
[ 53.372925, -1.488224 ]
[ 53.522507, -2.182739 ]
[ 51.554546, -0.192424 ]
[ 51.878836, -2.461863 ]
[ 51.624549, -0.165162 ]
[ 51.450836, 0.058743 ]
[ 51.471708, -0.204881 ]
[ 52.048597, -2.729593 ]
[ 51.485163, -3.201856 ]
[ 53.772941, -1.776034 ]
[ 55.821853, -4.359823 ]
[ 53.014191, -2.208468 ]
[ 52.606325, -1.670327 ]
[ 53.76765, -2.814837 ]
[ 53.461709, -2.214717 ]
[ 52.198033, -1.728107 ]
[ 52.087442, -0.254408 ]
[ 53.516334, -2.289903 ]
[ 52.551683, -1.521745 ]
[ 51.427238, -0.332193 ]
[ 52.581201, -2.136851 ]
[ 52.007371, 1.181464 ]
[ 55.843724, -4.167519 ]
